,yyyymm,project,percent_3,download_count
4,2016-12,tabulate,14.8,311469
5,2016-12,sficopaf,0.5,570
6,2016-12,click,21.7,1633098
7,2016-12,azmlclient,0.7,743
8,2016-11,click,22.1,1663291
9,2016-11,tabulate,15.6,326227
10,2016-10,click,19.9,1526790
11,2016-10,tabulate,11.4,267296
12,2016-09,click,21.0,1439723
13,2016-09,tabulate,13.0,240281
14,2016-08,tabulate,11.8,204093
15,2016-08,click,16.7,1533026
16,2016-07,tabulate,13.8,159866
17,2016-07,click,16.1,1427802
18,2016-06,tabulate,12.8,169529
19,2016-06,click,17.7,1087170
20,2016-05,tabulate,10.4,60708
21,2016-05,click,16.1,266912
22,2016-03,tabulate,12.7,32029
23,2016-03,click,18.6,95073
24,2016-02,click,17.1,491617
25,2016-02,tabulate,11.3,160444
26,2016-01,click,18.9,128861
27,2016-01,tabulate,11.5,42664
