,yyyymm,project,percent_3,download_count
169,2019-06,envswitch,0.5,1295
170,2019-06,click,61.7,13377648
171,2019-06,autoclass,1.8,4632
172,2019-06,tabulate,61.8,4118841
173,2019-06,decopatch,50.9,4690
174,2019-06,valid8,14.0,2341
175,2019-06,nox,84.9,9658
176,2019-06,pytest-harvest,12.8,2426
177,2019-05,pytest-cases,28.1,4965
178,2019-05,click,60.4,13023627
179,2019-05,tabulate,50.6,3447566
180,2019-05,classtools-autocode,0.0,204
181,2019-05,yamlable,1.3,972
182,2019-05,sficopaf,0.0,83
183,2019-05,decopatch,41.4,4737
184,2019-05,azmlclient,1.0,1918
185,2019-05,pytest-steps,2.5,2127
186,2019-05,envswitch,0.1,1373
187,2019-05,pytest-harvest,6.6,2414
188,2019-05,autoclass,0.8,5520
189,2019-05,pyoad,0.0,93
190,2019-05,makefun,31.8,6076
191,2019-05,nox,82.7,10434
192,2019-05,parsyfiles,0.4,900
193,2019-05,valid8,11.4,2335
194,2019-05,mini-lambda,3.1,1877
195,2019-04,decopatch,32.3,4564
196,2019-04,nox,67.8,6161
197,2019-04,parsyfiles,0.0,967
198,2019-04,azmlclient,0.2,884
199,2019-04,click,60.9,10369343
200,2019-04,autoclass,0.8,4476
201,2019-04,valid8,6.2,2740
202,2019-04,tabulate,45.7,2792127
203,2019-04,pytest-harvest,9.9,2211
204,2019-04,makefun,24.0,6158
205,2019-04,pytest-steps,6.7,2733
206,2019-04,pyoad,0.0,101
207,2019-04,classtools-autocode,0.7,150
208,2019-04,mini-lambda,4.0,2177
209,2019-04,sficopaf,0.0,92
210,2019-04,yamlable,0.9,1097
211,2019-04,pytest-cases,19.2,5736
212,2019-04,envswitch,0.0,1125
213,2019-03,tabulate,43.4,3030531
214,2019-03,azmlclient,1.5,200
215,2019-03,decopatch,9.1,4749
216,2019-03,pytest-cases,6.5,6045
217,2019-03,envswitch,0.4,1314
218,2019-03,classtools-autocode,4.3,186
219,2019-03,pytest-steps,7.4,3546
220,2019-03,click,61.5,10947455
221,2019-03,parsyfiles,0.2,1137
222,2019-03,mini-lambda,5.8,1209
223,2019-03,sficopaf,1.8,111
224,2019-03,autoclass,0.8,4072
225,2019-03,pytest-harvest,10.2,3119
226,2019-03,pyoad,3.1,128
227,2019-03,nox,70.6,5064
228,2019-03,makefun,8.7,7006
229,2019-03,yamlable,3.9,875
230,2019-03,valid8,7.6,1909
231,2019-02,decopatch,2.2,315
232,2019-02,sficopaf,1.8,110
233,2019-02,yamlable,0.3,936
234,2019-02,envswitch,1.8,1141
235,2019-02,makefun,2.8,4051
236,2019-02,valid8,3.4,2019
237,2019-02,pytest-steps,5.1,3069
238,2019-02,tabulate,45.4,2513601
239,2019-02,click,60.7,9242320
240,2019-02,azmlclient,2.6,153
241,2019-02,pyoad,1.9,106
242,2019-02,parsyfiles,0.3,1117
243,2019-02,pytest-cases,1.1,3526
244,2019-02,pytest-harvest,5.8,2452
245,2019-02,classtools-autocode,2.9,140
246,2019-02,nox,79.4,3707
247,2019-02,autoclass,0.6,2980
248,2019-02,mini-lambda,6.4,1142
249,2019-01,envswitch,1.9,1176
250,2019-01,pyoad,1.9,103
251,2019-01,yamlable,1.6,1082
252,2019-01,click,57.0,9062544
253,2019-01,classtools-autocode,1.2,163
254,2019-01,autoclass,0.3,3803
255,2019-01,sficopaf,1.9,107
256,2019-01,tabulate,43.3,2682206
257,2019-01,pytest-harvest,2.5,5622
258,2019-01,makefun,1.9,515
259,2019-01,valid8,4.6,1904
260,2019-01,parsyfiles,0.4,1157
261,2019-01,pytest-steps,1.2,7808
262,2019-01,pytest-cases,0.6,3408
263,2019-01,nox,73.0,2967
264,2019-01,azmlclient,2.3,177
265,2019-01,mini-lambda,6.2,1105
