,yyyymm,project,percent_3,download_count
0,2022-12,pytest-cases,66.8,157445
1,2022-12,pytest-harvest,83.0,10055
2,2022-12,sficopaf,4.9,41
3,2022-12,parsyfiles,0.4,285
4,2022-12,mini-lambda,50.1,984
5,2022-12,autoclass,4.8,1824
6,2022-12,fprules,0.5,203
7,2022-12,odsclient,34.0,574
8,2022-12,nox,94.9,1016004
9,2022-12,decopatch,73.0,191228
10,2022-12,getversion,52.2,5753
11,2022-12,azmlclient,0.0,594
12,2022-12,genbadge,92.6,49556
13,2022-12,envswitch,0.3,363
14,2022-12,pyfields,97.1,28175
15,2022-12,tabulate,95.7,42220449
16,2022-12,mixture,23.6,157
17,2022-12,classtools-autocode,19.4,72
18,2022-12,pyoad,2.6,38
19,2022-12,pytest-pilot,77.7,701
20,2022-12,mkdocs-gallery,3.4,476
21,2022-12,makefun,97.9,3936232
22,2022-12,marshmallow-pyfields,8.6,93
23,2022-12,qdscreen,0.6,180
24,2022-12,m5py,10.5,342
25,2022-12,valid8,96.5,31800
26,2022-12,click,68.6,125563782
27,2022-12,doit-api,1.9,207
28,2022-12,yamlable,85.0,3616
29,2022-12,vtypes,44.1,143
30,2022-12,spawny,4.8,228
31,2022-12,pytest-steps,76.8,10662
32,2022-11,marshmallow-pyfields,6.0,151
33,2022-11,classtools-autocode,15.0,120
34,2022-11,odsclient,10.5,779
35,2022-11,m5py,15.8,120
36,2022-11,pyoad,0.0,77
37,2022-11,fprules,0.7,307
38,2022-11,pytest-harvest,77.5,11707
39,2022-11,autoclass,2.6,2759
40,2022-11,azmlclient,0.6,833
41,2022-11,decopatch,67.3,221596
42,2022-11,genbadge,85.8,50476
43,2022-11,click,57.6,158587283
44,2022-11,mixture,19.1,225
45,2022-11,valid8,95.4,48583
46,2022-11,doit-api,0.9,328
47,2022-11,mkdocs-gallery,2.1,1141
48,2022-11,sficopaf,0.0,72
49,2022-11,spawny,0.8,380
50,2022-11,pytest-pilot,42.1,1379
51,2022-11,tabulate,95.1,43638016
52,2022-11,mini-lambda,38.8,1201
53,2022-11,qdscreen,1.4,351
54,2022-11,nox,94.8,1060218
55,2022-11,pyfields,96.1,45219
56,2022-11,parsyfiles,0.2,580
57,2022-11,envswitch,0.8,532
58,2022-11,pytest-steps,71.5,15676
59,2022-11,vtypes,41.0,251
60,2022-11,getversion,44.1,6020
61,2022-11,pytest-cases,55.2,166670
62,2022-11,yamlable,78.5,3975
63,2022-11,makefun,96.8,3366465
64,2022-10,mini-lambda,32.8,1326
65,2022-10,envswitch,4.3,541
66,2022-10,pyoad,2.9,68
67,2022-10,doit-api,3.7,349
68,2022-10,sficopaf,2.7,74
69,2022-10,yamlable,53.4,2189
70,2022-10,vtypes,13.1,137
71,2022-10,mkdocs-gallery,1.5,1150
72,2022-10,odsclient,18.4,949
73,2022-10,valid8,94.3,32180
74,2022-10,pytest-harvest,78.5,11885
75,2022-10,nox,95.3,1071751
76,2022-10,marshmallow-pyfields,2.9,140
77,2022-10,mixture,13.6,221
78,2022-10,makefun,96.9,3326883
79,2022-10,m5py,12.7,110
80,2022-10,pyfields,93.9,27914
81,2022-10,genbadge,93.6,61090
82,2022-10,click,53.5,170936979
83,2022-10,getversion,25.1,7606
84,2022-10,spawny,0.0,434
85,2022-10,autoclass,4.2,2727
86,2022-10,decopatch,70.4,163004
87,2022-10,parsyfiles,3.6,613
88,2022-10,azmlclient,3.0,769
89,2022-10,pytest-pilot,50.8,1072
90,2022-10,tabulate,95.1,46117364
91,2022-10,classtools-autocode,10.3,97
92,2022-10,pytest-cases,59.4,125139
93,2022-10,fprules,3.3,329
94,2022-10,qdscreen,2.7,408
95,2022-10,pytest-steps,73.0,14583
96,2022-09,pytest-steps,70.2,12063
97,2022-09,odsclient,22.3,860
98,2022-09,mkdocs-gallery,5.2,649
99,2022-09,spawny,4.7,407
100,2022-09,click,53.0,165984674
101,2022-09,doit-api,1.9,262
102,2022-09,valid8,95.2,29187
103,2022-09,envswitch,2.7,524
104,2022-09,m5py,9.1,77
105,2022-09,qdscreen,3.6,504
106,2022-09,pyoad,4.4,68
107,2022-09,fprules,6.1,329
108,2022-09,sficopaf,5.7,70
109,2022-09,nox,95.1,1110621
110,2022-09,autoclass,5.6,2127
111,2022-09,marshmallow-pyfields,5.7,123
112,2022-09,getversion,20.8,3828
113,2022-09,makefun,96.7,2875099
114,2022-09,parsyfiles,0.9,561
115,2022-09,vtypes,8.8,102
116,2022-09,classtools-autocode,11.4,79
117,2022-09,pytest-pilot,56.4,1059
118,2022-09,yamlable,62.1,2066
119,2022-09,azmlclient,2.5,732
120,2022-09,tabulate,94.8,42569005
121,2022-09,pyfields,95.1,27125
122,2022-09,pytest-harvest,83.3,15229
123,2022-09,mini-lambda,28.5,1141
124,2022-09,decopatch,78.5,142060
125,2022-09,pytest-cases,68.5,102390
126,2022-09,mixture,16.3,215
127,2022-09,genbadge,93.5,44876
128,2022-08,decopatch,82.3,145528
129,2022-08,azmlclient,3.8,1020
130,2022-08,getversion,4.4,4123
131,2022-08,pyfields,96.2,38221
132,2022-08,vtypes,46.8,235
133,2022-08,makefun,94.2,1765445
134,2022-08,mixture,10.9,229
135,2022-08,pytest-steps,73.6,11777
136,2022-08,classtools-autocode,10.3,116
137,2022-08,m5py,12.2,123
138,2022-08,mkdocs-gallery,0.5,646
139,2022-08,tabulate,95.4,42918399
140,2022-08,envswitch,4.5,662
141,2022-08,autoclass,4.7,3305
142,2022-08,qdscreen,0.3,309
143,2022-08,pytest-pilot,64.1,926
144,2022-08,marshmallow-pyfields,2.6,151
145,2022-08,doit-api,4.8,419
146,2022-08,odsclient,21.6,953
147,2022-08,yamlable,63.2,2647
