,yyyymm,project,percent_3,download_count
21,2020-12,decopatch,88.6,33696
22,2020-12,vtypes,8.2,97
23,2020-12,getversion,23.4,757
24,2020-12,yamlable,13.3,520
25,2020-12,parsyfiles,7.4,352
26,2020-12,pytest-harvest,79.2,6267
27,2020-12,sficopaf,9.1,33
28,2020-12,doit-api,4.5,359
29,2020-12,nox,98.2,288544
30,2020-12,azmlclient,3.8,759
31,2020-12,pyfields,72.0,13830
32,2020-12,spawny,6.5,278
33,2020-12,tabulate,88.1,9089837
34,2020-12,pytest-steps,76.7,5767
35,2020-12,makefun,87.7,42826
36,2020-12,classtools-autocode,3.9,76
37,2020-12,marshmallow-pyfields,20.0,160
38,2020-12,mixture,12.3,162
39,2020-12,odsclient,16.7,485
40,2020-12,click,85.8,23613236
41,2020-12,pytest-cases,73.6,20759
42,2020-12,valid8,75.2,13218
43,2020-12,pytest-pilot,6.9,332
44,2020-12,pyoad,11.6,43
45,2020-12,autoclass,6.2,2401
46,2020-12,fprules,1.3,320
47,2020-12,mini-lambda,31.4,962
48,2020-12,envswitch,6.6,472
49,2020-11,pytest-steps,52.0,4235
50,2020-11,autoclass,3.6,3034
51,2020-11,fprules,1.2,418
52,2020-11,pytest-cases,67.5,18055
53,2020-11,mini-lambda,23.6,1215
54,2020-11,tabulate,87.8,9683869
55,2020-11,envswitch,0.9,541
56,2020-11,parsyfiles,0.2,580
57,2020-11,marshmallow-pyfields,13.0,261
58,2020-11,nox,98.3,299476
59,2020-11,pytest-pilot,1.1,554
60,2020-11,yamlable,4.4,697
61,2020-11,mixture,9.0,212
62,2020-11,valid8,69.8,10557
63,2020-11,spawny,0.0,433
64,2020-11,getversion,7.2,712
65,2020-11,odsclient,7.7,648
66,2020-11,pyoad,0.0,72
67,2020-11,click,84.9,24545195
68,2020-11,pytest-harvest,74.8,7322
69,2020-11,classtools-autocode,5.3,95
70,2020-11,azmlclient,0.3,791
71,2020-11,pyfields,65.8,11030
72,2020-11,decopatch,89.4,27966
73,2020-11,doit-api,0.5,422
74,2020-11,makefun,86.8,36493
75,2020-11,vtypes,4.4,136
76,2020-11,sficopaf,0.0,63
77,2020-10,pytest-cases,69.6,16677
78,2020-10,vtypes,2.0,148
79,2020-10,parsyfiles,0.4,555
80,2020-10,doit-api,1.7,781
81,2020-10,getversion,12.9,961
82,2020-10,mixture,7.7,208
83,2020-10,nox,98.4,284028
84,2020-10,makefun,85.7,37922
85,2020-10,autoclass,3.5,3580
86,2020-10,azmlclient,0.1,928
87,2020-10,pytest-harvest,71.8,5910
88,2020-10,pyoad,2.4,83
89,2020-10,pytest-steps,50.1,3508
90,2020-10,odsclient,5.8,1086
91,2020-10,envswitch,0.5,550
92,2020-10,marshmallow-pyfields,6.3,336
93,2020-10,click,84.2,24446283
94,2020-10,spawny,0.5,417
95,2020-10,yamlable,11.9,750
96,2020-10,classtools-autocode,2.7,110
97,2020-10,decopatch,88.8,28884
98,2020-10,pyfields,68.5,12686
99,2020-10,pytest-pilot,2.5,1300
100,2020-10,valid8,74.4,13279
101,2020-10,fprules,0.2,457
102,2020-10,mini-lambda,29.3,1261
103,2020-10,sficopaf,1.4,72
104,2020-10,tabulate,88.4,9481732
105,2020-09,pytest-cases,61.4,13924
106,2020-09,mini-lambda,22.7,1498
107,2020-09,azmlclient,0.2,896
108,2020-09,marshmallow-pyfields,2.6,425
109,2020-09,pytest-steps,34.1,3915
110,2020-09,mixture,6.8,279
111,2020-09,tabulate,86.7,9068800
112,2020-09,makefun,81.7,32571
113,2020-09,click,83.9,23626593
114,2020-09,valid8,70.0,14969
115,2020-09,fprules,3.0,697
116,2020-09,pytest-pilot,2.4,338
117,2020-09,getversion,14.6,946
118,2020-09,yamlable,3.7,911
119,2020-09,parsyfiles,0.1,726
120,2020-09,classtools-autocode,2.2,89
121,2020-09,vtypes,7.5,187
122,2020-09,odsclient,88.6,3781
123,2020-09,pytest-harvest,45.2,3534
124,2020-09,pyfields,64.6,14823
125,2020-09,sficopaf,0.0,87
