,yyyymm,project,percent_3,download_count
27,2023-12,mixture,18.8,144
28,2023-12,nox,91.7,894091
29,2023-12,m5py,65.5,278
30,2023-12,tabulate,94.4,47253072
31,2023-12,pytest-cases,75.9,190543
32,2023-12,autoclass,12.1,2204
33,2023-12,envswitch,1.0,415
34,2023-12,makefun,98.4,8389028
35,2023-12,pyoad,4.0,50
36,2023-12,valid8,69.1,3140
37,2023-12,genbadge,85.3,43117
38,2023-12,mkdocs-gallery,16.6,1718
39,2023-12,doit-api,6.3,254
40,2023-12,pytest-pilot,39.3,410
41,2023-12,qdscreen,3.0,233
42,2023-12,mini-lambda,33.2,720
43,2023-12,click,85.3,155848161
44,2023-12,vtypes,28.7,87
45,2023-12,pyfields,70.4,2971
46,2023-12,azmlclient,18.6,760
47,2023-12,odsclient,7.9,429
48,2023-12,pytest-steps,84.9,60048
49,2023-12,yamlable,78.6,4204
50,2023-12,getversion,98.5,33314
51,2023-12,sficopaf,6.4,47
52,2023-12,pytest-harvest,76.6,20259
53,2023-12,spawny,2.6,274
54,2023-12,marshmallow-pyfields,7.0,100
55,2023-12,decopatch,74.8,175473
56,2023-12,classtools-autocode,9.0,67
57,2023-12,fprules,1.4,219
58,2023-12,parsyfiles,2.9,347
27,2023-11,nox,90.6,961159
28,2023-11,decopatch,75.6,201073
29,2023-11,envswitch,4.7,381
30,2023-11,valid8,68.1,3603
31,2023-11,mkdocs-gallery,19.0,2044
32,2023-11,marshmallow-pyfields,6.2,113
33,2023-11,genbadge,87.5,55806
34,2023-11,getversion,94.6,15065
35,2023-11,pytest-steps,90.8,91367
36,2023-11,vtypes,60.2,244
37,2023-11,click,85.6,174615903
38,2023-11,odsclient,26.9,659
39,2023-11,pytest-harvest,71.5,24387
40,2023-11,parsyfiles,1.3,395
41,2023-11,azmlclient,22.6,672
42,2023-11,tabulate,93.7,50578476
43,2023-11,pyfields,59.4,3418
44,2023-11,classtools-autocode,20.0,70
45,2023-11,mixture,28.7,216
46,2023-11,makefun,98.0,7628258
47,2023-11,m5py,65.7,370
48,2023-11,pytest-pilot,28.1,562
49,2023-11,autoclass,15.9,2067
50,2023-11,pyoad,3.7,54
51,2023-11,mini-lambda,44.1,930
52,2023-11,doit-api,25.4,280
53,2023-11,pytest-cases,77.1,220577
54,2023-11,qdscreen,5.3,302
55,2023-11,fprules,5.6,215
56,2023-11,spawny,2.0,297
57,2023-11,yamlable,80.2,4410
58,2023-11,sficopaf,15.0,60
30,2023-10,pytest-pilot,44.2,640
31,2023-10,yamlable,77.7,4039
32,2023-10,vtypes,25.9,58
33,2023-10,pyfields,68.1,2216
34,2023-10,parsyfiles,1.0,305
35,2023-10,mixture,24.2,132
36,2023-10,makefun,97.6,6407383
37,2023-10,azmlclient,18.2,808
38,2023-10,classtools-autocode,9.7,72
39,2023-10,decopatch,75.6,196694
40,2023-10,mkdocs-gallery,38.8,1501
41,2023-10,autoclass,10.9,2584
42,2023-10,odsclient,38.5,454
43,2023-10,qdscreen,7.6,145
44,2023-10,tabulate,93.8,52204710
45,2023-10,valid8,75.2,2833
46,2023-10,getversion,33.8,1209
47,2023-10,pytest-steps,92.6,94057
48,2023-10,doit-api,15.3,262
49,2023-10,marshmallow-pyfields,15.4,78
50,2023-10,mini-lambda,49.4,782
51,2023-10,fprules,1.9,208
52,2023-10,m5py,71.2,267
53,2023-10,pyoad,7.9,38
54,2023-10,spawny,5.2,153
55,2023-10,pytest-cases,75.4,196333
56,2023-10,click,85.3,182645712
57,2023-10,envswitch,3.0,368
58,2023-10,pytest-harvest,75.3,23881
59,2023-10,nox,90.4,983636
60,2023-10,sficopaf,10.3,29
61,2023-10,genbadge,89.5,68195
27,2023-09,pytest-harvest,77.2,21053
28,2023-09,odsclient,29.6,389
29,2023-09,mkdocs-gallery,20.4,1419
30,2023-09,envswitch,6.4,265
31,2023-09,mixture,23.5,136
32,2023-09,pyfields,71.3,1974
33,2023-09,pytest-cases,73.8,151347
34,2023-09,doit-api,7.6,172
35,2023-09,pytest-steps,83.4,38633
