,yyyymm,project,percent_3,download_count
25,2025-12,parsyfiles,6.1,362
26,2025-12,nox,97.6,3780929
27,2025-12,pytest-harvest,97.3,192725
28,2025-12,yamlable,98.4,51859
29,2025-12,pyfields,80.4,3875
30,2025-12,valid8,84.3,6953
31,2025-12,pytest-pilot,37.5,1169
32,2025-12,m5py,58.1,601
33,2025-12,mini-lambda,18.3,597
34,2025-12,fprules,2.5,275
35,2025-12,doit-api,2.8,249
36,2025-12,marshmallow-pyfields,61.5,257
37,2025-12,spawny,2.8,287
38,2025-12,getversion,70.0,22688
39,2025-12,autoclass,27.7,1889
40,2025-12,odsclient,7.1,434
41,2025-12,mkdocs-gallery,75.9,7216
42,2025-12,makefun,98.1,16332211
43,2025-12,mixture,36.8,209
44,2025-12,pyoad,3.6,55
45,2025-12,sficopaf,3.9,51
46,2025-12,classtools-autocode,4.0,75
47,2025-12,tabulate,96.3,124247466
48,2025-12,pytest-steps,75.6,38585
49,2025-12,pytest-cases,80.4,619841
50,2025-12,click,94.5,483116687
51,2025-12,decopatch,82.0,860515
52,2025-12,vtypes,33.5,185
53,2025-12,genbadge,93.8,258759
54,2025-12,qdscreen,3.6,169
55,2025-12,azmlclient,41.7,822
56,2025-12,envswitch,3.4,409
24,2025-11,tabulate,96.1,118236053
25,2025-11,pytest-steps,87.4,77155
26,2025-11,envswitch,3.4,322
27,2025-11,spawny,0.0,213
28,2025-11,makefun,98.2,15672802
29,2025-11,azmlclient,34.3,817
30,2025-11,mkdocs-gallery,81.3,11684
31,2025-11,mini-lambda,57.5,1311
32,2025-11,qdscreen,0.5,182
33,2025-11,doit-api,0.5,198
34,2025-11,classtools-autocode,1.4,70
35,2025-11,pytest-harvest,97.6,215514
36,2025-11,odsclient,9.3,518
37,2025-11,pyfields,92.2,10276
38,2025-11,fprules,0.0,191
39,2025-11,getversion,92.4,24351
40,2025-11,parsyfiles,1.2,346
41,2025-11,decopatch,84.9,870818
42,2025-11,pytest-pilot,56.2,714
43,2025-11,yamlable,98.2,59359
44,2025-11,genbadge,93.8,307867
45,2025-11,vtypes,61.4,259
46,2025-11,click,94.3,474681848
47,2025-11,m5py,97.5,7538
48,2025-11,pyoad,3.7,54
49,2025-11,autoclass,21.1,2384
50,2025-11,mixture,37.4,214
51,2025-11,sficopaf,0.0,41
52,2025-11,pytest-cases,80.8,649698
53,2025-11,valid8,93.8,15586
54,2025-11,marshmallow-pyfields,63.0,238
55,2025-11,nox,97.5,4160190
29,2025-10,valid8,93.1,11475
30,2025-10,marshmallow-pyfields,79.5,258
31,2025-10,odsclient,15.5,330
32,2025-10,mini-lambda,49.7,708
33,2025-10,autoclass,24.2,1940
34,2025-10,click,93.7,471537286
35,2025-10,pytest-cases,79.6,670849
36,2025-10,azmlclient,39.9,779
37,2025-10,qdscreen,3.8,133
38,2025-10,pyfields,92.5,8533
39,2025-10,pyoad,16.7,36
40,2025-10,makefun,98.1,15963067
41,2025-10,nox,96.3,4679796
42,2025-10,mkdocs-gallery,77.1,8731
43,2025-10,doit-api,2.2,183
44,2025-10,sficopaf,5.0,40
45,2025-10,spawny,1.4,147
46,2025-10,pytest-steps,82.2,60864
47,2025-10,genbadge,85.0,168312
48,2025-10,mixture,44.7,159
49,2025-10,pytest-pilot,60.6,660
50,2025-10,fprules,3.8,159
51,2025-10,tabulate,95.7,118167553
52,2025-10,decopatch,85.1,969559
53,2025-10,getversion,95.2,25007
54,2025-10,yamlable,97.3,56280
55,2025-10,classtools-autocode,14.5,55
56,2025-10,m5py,87.5,1699
57,2025-10,envswitch,1.4,292
58,2025-10,vtypes,61.8,173
59,2025-10,pytest-harvest,97.9,289467
60,2025-10,parsyfiles,3.0,270
29,2025-09,pytest-pilot,58.7,895
30,2025-09,fprules,2.6,194
31,2025-09,pyoad,3.8,53
32,2025-09,spawny,0.0,326
33,2025-09,pytest-cases,80.8,759354
34,2025-09,classtools-autocode,5.6,89
35,2025-09,nox,95.5,3533957
36,2025-09,autoclass,25.8,2775
37,2025-09,envswitch,1.0,387
38,2025-09,click,93.0,406621250
39,2025-09,pytest-steps,73.1,48060
40,2025-09,pyfields,85.7,9135
41,2025-09,m5py,91.5,4020
42,2025-09,tabulate,95.5,108061382
43,2025-09,yamlable,96.1,60669
44,2025-09,parsyfiles,1.4,590
45,2025-09,mkdocs-gallery,86.9,20200
46,2025-09,marshmallow-pyfields,83.6,592
47,2025-09,mini-lambda,44.0,1172
