,yyyymm,project,percent_3,download_count
31,2021-12,azmlclient,1.4,1013
32,2021-12,mini-lambda,33.7,1384
33,2021-12,click,81.2,80404965
34,2021-12,qdscreen,0.0,126
35,2021-12,pytest-steps,86.1,16494
36,2021-12,fprules,3.1,356
37,2021-12,pytest-pilot,30.3,696
38,2021-12,doit-api,3.9,382
39,2021-12,pyfields,88.9,27896
40,2021-12,autoclass,15.6,3855
41,2021-12,odsclient,20.8,946
42,2021-12,valid8,93.2,27341
43,2021-12,tabulate,96.1,33335271
44,2021-12,nox,95.9,615069
45,2021-12,mkdocs-gallery,4.6,652
46,2021-12,pyoad,1.4,69
47,2021-12,mixture,17.0,230
48,2021-12,classtools-autocode,1.9,104
49,2021-12,getversion,2.3,8893
50,2021-12,vtypes,3.7,108
51,2021-12,parsyfiles,0.0,543
52,2021-12,spawny,2.8,387
53,2021-12,yamlable,76.9,2494
54,2021-12,marshmallow-pyfields,2.1,144
55,2021-12,pytest-harvest,78.1,7924
56,2021-12,sficopaf,0.0,61
57,2021-12,decopatch,87.2,81427
58,2021-12,envswitch,1.9,579
59,2021-12,makefun,84.5,128787
60,2021-12,pytest-cases,74.3,56401
61,2021-12,genbadge,44.2,3012
62,2021-11,doit-api,7.8,346
63,2021-11,marshmallow-pyfields,0.6,156
64,2021-11,azmlclient,0.8,1015
65,2021-11,autoclass,11.3,3391
66,2021-11,click,74.7,87040902
67,2021-11,classtools-autocode,30.8,143
68,2021-11,nox,96.5,647701
69,2021-11,spawny,1.6,315
70,2021-11,mixture,13.0,215
71,2021-11,fprules,3.5,286
72,2021-11,pyoad,1.4,72
73,2021-11,decopatch,88.0,84558
74,2021-11,getversion,3.1,6089
75,2021-11,odsclient,20.1,1057
76,2021-11,sficopaf,2.9,70
77,2021-11,tabulate,95.7,31010536
78,2021-11,genbadge,48.0,3196
79,2021-11,pytest-steps,92.4,18208
80,2021-11,vtypes,2.6,117
81,2021-11,mini-lambda,35.9,938
82,2021-11,envswitch,1.5,471
83,2021-11,pytest-pilot,22.9,703
84,2021-11,pyfields,94.9,28476
85,2021-11,valid8,95.6,28820
86,2021-11,parsyfiles,0.7,404
87,2021-11,pytest-harvest,85.8,9115
88,2021-11,makefun,85.9,131606
89,2021-11,yamlable,74.1,2128
90,2021-11,qdscreen,2.0,151
91,2021-11,pytest-cases,74.9,54501
92,2021-10,classtools-autocode,32.4,102
93,2021-10,pyfields,93.9,27055
94,2021-10,valid8,92.6,27741
95,2021-10,parsyfiles,4.8,476
96,2021-10,pytest-cases,82.2,60086
97,2021-10,pytest-harvest,85.7,11405
98,2021-10,mixture,17.5,200
99,2021-10,marshmallow-pyfields,5.3,131
100,2021-10,pytest-steps,87.0,12673
101,2021-10,decopatch,92.0,91964
102,2021-10,pytest-pilot,5.7,316
103,2021-10,azmlclient,4.4,574
104,2021-10,pyoad,3.4,59
105,2021-10,vtypes,11.3,141
106,2021-10,fprules,4.6,263
107,2021-10,click,67.3,105496520
108,2021-10,getversion,10.5,3096
109,2021-10,genbadge,40.7,2073
110,2021-10,odsclient,49.6,1167
111,2021-10,doit-api,10.2,256
112,2021-10,makefun,89.1,145534
113,2021-10,tabulate,96.2,36410170
114,2021-10,autoclass,8.4,2054
115,2021-10,spawny,4.6,394
116,2021-10,qdscreen,3.1,130
117,2021-10,sficopaf,3.3,61
118,2021-10,yamlable,69.7,2739
119,2021-10,mini-lambda,35.9,1075
120,2021-10,nox,96.7,636494
121,2021-10,envswitch,5.7,353
122,2021-09,marshmallow-pyfields,1.3,157
123,2021-09,doit-api,7.2,446
124,2021-09,makefun,89.4,119727
125,2021-09,tabulate,94.9,29021987
126,2021-09,azmlclient,0.6,1008
127,2021-09,pytest-pilot,0.6,316
128,2021-09,sficopaf,0.0,49
129,2021-09,mini-lambda,36.0,1440
130,2021-09,fprules,0.6,334
131,2021-09,qdscreen,2.8,142
132,2021-09,pyoad,0.0,60
133,2021-09,classtools-autocode,2.0,101
134,2021-09,mixture,17.4,242
135,2021-09,vtypes,16.9,148
136,2021-09,envswitch,0.8,635
137,2021-09,odsclient,30.0,924
138,2021-09,getversion,21.2,1071
139,2021-09,click,64.3,94639766
140,2021-09,genbadge,43.6,2548
141,2021-09,pytest-harvest,84.5,11188
142,2021-09,pytest-cases,75.3,49486
143,2021-09,pyfields,93.4,28377
144,2021-09,pytest-steps,82.9,12566
145,2021-09,decopatch,90.5,82175
146,2021-09,valid8,93.3,29002
147,2021-09,autoclass,9.6,3643
148,2021-09,yamlable,67.7,2796
149,2021-09,spawny,1.2,333
150,2021-09,nox,95.4,457529
151,2021-09,parsyfiles,0.8,526
152,2021-08,odsclient,66.6,2053
153,2021-08,envswitch,0.7,577
154,2021-08,pyfields,95.5,44515
155,2021-08,spawny,0.6,472
156,2021-08,pytest-pilot,0.2,416
157,2021-08,pytest-cases,78.5,51519
158,2021-08,valid8,95.9,44599
159,2021-08,vtypes,0.7,137
160,2021-08,decopatch,92.7,102083
161,2021-08,pytest-harvest,85.1,11779
162,2021-08,getversion,14.7,1085
163,2021-08,pytest-steps,84.4,12134
164,2021-08,parsyfiles,0.7,569
165,2021-08,mini-lambda,25.1,1264
166,2021-08,pyoad,3.8,78
167,2021-08,classtools-autocode,1.6,126
168,2021-08,makefun,93.0,152043
169,2021-08,tabulate,95.1,28417907
170,2021-08,yamlable,63.2,1969
171,2021-08,mixture,6.4,251
172,2021-08,sficopaf,0.0,86
173,2021-08,genbadge,21.8,1245
174,2021-08,click,67.0,90018728
175,2021-08,doit-api,3.0,430
176,2021-08,azmlclient,0.1,1073
177,2021-08,qdscreen,0.0,167
178,2021-08,fprules,0.2,409
179,2021-08,autoclass,7.6,3557
180,2021-08,marshmallow-pyfields,0.0,177
181,2021-08,nox,95.1,389168
182,2021-07,pyfields,94.7,43555
183,2021-07,classtools-autocode,3.4,145
184,2021-07,mixture,10.5,305
185,2021-07,autoclass,11.4,4538
186,2021-07,sficopaf,2.2,92
187,2021-07,pytest-pilot,3.1,389
188,2021-07,qdscreen,2.5,198
189,2021-07,fprules,2.3,480
190,2021-07,valid8,94.3,44175
191,2021-07,makefun,91.8,149792
192,2021-07,mini-lambda,24.2,1423
193,2021-07,getversion,24.6,1401
194,2021-07,pytest-cases,76.1,58312
195,2021-07,marshmallow-pyfields,2.0,196
196,2021-07,decopatch,91.8,107287
197,2021-07,pytest-harvest,87.2,13662
198,2021-07,pytest-steps,86.7,14873
199,2021-07,odsclient,92.5,10250
200,2021-07,azmlclient,1.9,1402
201,2021-07,parsyfiles,3.8,610
202,2021-07,genbadge,26.9,1966
203,2021-07,doit-api,10.4,645
