,yyyymm,project,percent_3,download_count
7,2017-12,click,48.4,2272343
8,2017-12,azmlclient,1.3,152
9,2017-12,mini-lambda,0.8,1777
10,2017-12,classtools-autocode,0.0,161
11,2017-12,sficopaf,0.0,136
12,2017-12,envswitch,0.0,1487
13,2017-12,tabulate,23.1,586598
14,2017-12,autoclass,0.3,2565
15,2017-12,pyoad,1.5,135
16,2017-12,valid8,1.1,612
17,2017-12,parsyfiles,0.2,620
18,2017-11,click,46.7,2248244
19,2017-11,classtools-autocode,0.0,122
20,2017-11,parsyfiles,2.0,450
21,2017-11,azmlclient,2.6,114
22,2017-11,envswitch,0.1,1465
23,2017-11,valid8,2.1,145
24,2017-11,sficopaf,1.1,90
25,2017-11,autoclass,0.7,1654
26,2017-11,tabulate,18.8,574579
27,2017-11,pyoad,1.9,107
28,2017-11,mini-lambda,0.7,535
29,2017-10,classtools-autocode,1.7,117
30,2017-10,tabulate,18.4,663678
31,2017-10,valid8,0.3,391
32,2017-10,azmlclient,5.4,129
33,2017-10,autoclass,6.1,2653
34,2017-10,click,52.0,2867852
35,2017-10,sficopaf,0.0,94
36,2017-10,pyoad,0.0,116
37,2017-10,parsyfiles,0.2,459
38,2017-10,envswitch,0.5,3401
39,2017-09,azmlclient,0.0,136
40,2017-09,sficopaf,0.0,105
41,2017-09,envswitch,0.4,1334
42,2017-09,autoclass,1.5,3089
43,2017-09,classtools-autocode,0.8,129
44,2017-09,parsyfiles,0.7,1169
45,2017-09,pyoad,0.0,150
46,2017-09,tabulate,19.3,552562
47,2017-09,click,41.4,2318414
48,2017-08,pyoad,0.7,419
49,2017-08,autoclass,1.0,3682
50,2017-08,click,47.3,2827013
51,2017-08,tabulate,18.7,610278
52,2017-08,parsyfiles,1.1,871
53,2017-08,sficopaf,1.1,94
54,2017-08,classtools-autocode,1.4,139
55,2017-08,azmlclient,2.3,130
56,2017-07,pyoad,2.1,237
57,2017-07,azmlclient,2.5,119
58,2017-07,parsyfiles,1.2,506
59,2017-07,classtools-autocode,1.7,119
60,2017-07,tabulate,18.4,550823
61,2017-07,sficopaf,3.0,99
62,2017-07,click,40.4,2417537
63,2017-06,parsyfiles,1.9,317
64,2017-06,click,35.3,2150156
65,2017-06,classtools-autocode,1.0,406
66,2017-06,tabulate,14.5,539565
67,2017-06,sficopaf,3.4,116
68,2017-06,azmlclient,4.0,151
69,2017-05,classtools-autocode,10.0,60
70,2017-05,parsyfiles,1.8,278
71,2017-05,azmlclient,3.9,102
72,2017-05,click,31.9,2076648
73,2017-05,sficopaf,1.1,94
74,2017-05,tabulate,14.0,473429
75,2017-04,sficopaf,1.7,116
76,2017-04,click,31.5,1879655
77,2017-04,classtools-autocode,2.7,73
78,2017-04,azmlclient,9.9,171
79,2017-04,tabulate,12.0,587033
80,2017-03,sficopaf,1.1,186
81,2017-03,classtools-autocode,0.8,125
82,2017-03,tabulate,12.6,544217
83,2017-03,click,26.1,2067185
84,2017-03,azmlclient,5.7,261
85,2017-02,azmlclient,1.5,204
86,2017-02,tabulate,10.7,493499
87,2017-02,click,24.8,1801934
88,2017-02,classtools-autocode,1.7,115
89,2017-02,sficopaf,0.0,168
90,2017-01,click,24.0,1843335
91,2017-01,azmlclient,2.5,242
92,2017-01,sficopaf,0.5,213
93,2017-01,tabulate,13.4,390842
94,2017-01,classtools-autocode,1.0,402
