,yyyymm,project,percent_3,download_count
16,2018-12,pytest-harvest,1.6,8196
17,2018-12,sficopaf,2.9,103
18,2018-12,nox,85.4,4779
19,2018-12,mini-lambda,3.9,1110
20,2018-12,autoclass,0.9,3333
21,2018-12,parsyfiles,0.3,1020
22,2018-12,azmlclient,1.8,168
23,2018-12,tabulate,42.1,2003657
24,2018-12,pytest-steps,1.1,8682
25,2018-12,classtools-autocode,1.3,158
26,2018-12,envswitch,1.2,1125
27,2018-12,valid8,3.1,1718
28,2018-12,click,54.3,7435278
29,2018-12,pyoad,3.0,100
30,2018-12,yamlable,5.0,904
31,2018-12,pytest-cases,0.5,2578
32,2018-11,sficopaf,0.0,100
33,2018-11,nox,75.2,4038
34,2018-11,autoclass,0.6,3572
35,2018-11,pytest-steps,1.7,4396
36,2018-11,parsyfiles,0.3,1217
37,2018-11,envswitch,0.3,1171
38,2018-11,valid8,4.8,1913
39,2018-11,azmlclient,5.6,177
40,2018-11,pytest-cases,0.3,2144
41,2018-11,tabulate,43.4,2241334
42,2018-11,mini-lambda,5.0,1255
43,2018-11,pyoad,2.7,113
44,2018-11,yamlable,2.1,1030
45,2018-11,pytest-harvest,3.4,4767
46,2018-11,classtools-autocode,3.9,152
47,2018-11,click,55.2,7748239
48,2018-10,sficopaf,0.8,130
49,2018-10,azmlclient,2.3,220
50,2018-10,tabulate,38.3,2189455
51,2018-10,pytest-steps,2.2,2644
52,2018-10,envswitch,0.2,1592
53,2018-10,click,55.7,7565854
54,2018-10,mini-lambda,0.3,9593
55,2018-10,classtools-autocode,1.0,200
56,2018-10,pytest-cases,0.6,1706
57,2018-10,parsyfiles,0.1,1493
58,2018-10,autoclass,0.9,4602
59,2018-10,valid8,2.0,2450
60,2018-10,nox,52.5,4517
61,2018-10,yamlable,0.4,1257
62,2018-10,pyoad,0.7,142
63,2018-09,parsyfiles,0.8,1585
64,2018-09,classtools-autocode,4.8,165
65,2018-09,pyoad,5.9,153
66,2018-09,click,59.3,7197280
67,2018-09,mini-lambda,1.8,1350
68,2018-09,pytest-steps,2.1,1127
69,2018-09,azmlclient,6.5,185
70,2018-09,tabulate,32.5,2007510
71,2018-09,valid8,1.3,3488
72,2018-09,pytest-cases,0.7,2144
73,2018-09,nox,24.4,1065
74,2018-09,sficopaf,4.9,143
75,2018-09,autoclass,1.2,3897
76,2018-09,yamlable,1.0,2434
77,2018-09,envswitch,0.7,1395
78,2018-08,valid8,0.3,2513
79,2018-08,yamlable,0.9,1630
80,2018-08,pytest-steps,2.0,1332
81,2018-08,pytest-cases,1.1,2084
82,2018-08,azmlclient,1.5,203
