,yyyymm,project,percent_3,download_count
30,2024-12,mini-lambda,10.1,1074
31,2024-12,pytest-steps,46.4,32715
32,2024-12,autoclass,11.5,4105
33,2024-12,parsyfiles,0.7,594
34,2024-12,getversion,89.4,13836
35,2024-12,marshmallow-pyfields,9.9,162
36,2024-12,classtools-autocode,6.0,100
37,2024-12,fprules,2.5,393
38,2024-12,click,91.2,239824775
39,2024-12,odsclient,31.0,1068
40,2024-12,valid8,83.9,8739
41,2024-12,decopatch,80.2,561382
42,2024-12,pyoad,8.5,71
43,2024-12,pyfields,78.6,7201
44,2024-12,tabulate,94.7,71908544
45,2024-12,mkdocs-gallery,67.8,5682
46,2024-12,doit-api,2.7,370
47,2024-12,azmlclient,25.2,1324
48,2024-12,vtypes,39.9,163
49,2024-12,spawny,2.3,345
50,2024-12,genbadge,62.3,86550
51,2024-12,sficopaf,6.9,58
52,2024-12,qdscreen,7.6,304
53,2024-12,pytest-pilot,40.0,572
54,2024-12,pytest-cases,75.9,455243
55,2024-12,yamlable,95.5,37135
56,2024-12,mixture,19.8,263
57,2024-12,m5py,45.8,552
58,2024-12,pytest-harvest,90.4,88864
59,2024-12,nox,92.2,2772454
60,2024-12,envswitch,0.7,610
61,2024-12,makefun,98.0,13322237
27,2024-11,marshmallow-pyfields,20.8,212
28,2024-11,makefun,97.8,15210464
29,2024-11,getversion,95.6,20755
30,2024-11,parsyfiles,1.5,597
31,2024-11,pyfields,99.3,237935
32,2024-11,classtools-autocode,6.9,145
33,2024-11,vtypes,39.1,220
34,2024-11,fprules,2.1,376
35,2024-11,genbadge,90.3,379201
36,2024-11,qdscreen,4.7,322
37,2024-11,envswitch,1.9,726
38,2024-11,pytest-steps,55.8,43026
39,2024-11,click,91.5,257254510
40,2024-11,odsclient,31.2,1023
41,2024-11,pytest-pilot,33.0,693
42,2024-11,tabulate,94.5,70456770
43,2024-11,mixture,19.2,266
44,2024-11,autoclass,12.9,5066
45,2024-11,mkdocs-gallery,63.2,5510
46,2024-11,valid8,99.1,239969
47,2024-11,mini-lambda,7.9,1039
48,2024-11,sficopaf,6.3,64
49,2024-11,spawny,1.3,453
50,2024-11,nox,95.7,3985032
51,2024-11,doit-api,11.1,431
52,2024-11,pytest-cases,87.9,1247298
53,2024-11,yamlable,91.7,31623
54,2024-11,decopatch,91.7,1827288
55,2024-11,pyoad,3.2,63
56,2024-11,pytest-harvest,87.8,75342
57,2024-11,azmlclient,25.4,1893
58,2024-11,m5py,53.4,626
28,2024-10,doit-api,6.4,610
29,2024-10,qdscreen,3.1,482
30,2024-10,mini-lambda,18.8,1741
31,2024-10,valid8,95.8,63958
32,2024-10,pyfields,96.0,62392
33,2024-10,fprules,2.0,603
34,2024-10,marshmallow-pyfields,41.7,369
35,2024-10,nox,94.1,3284699
36,2024-10,sficopaf,10.1,99
37,2024-10,pytest-steps,60.3,54940
38,2024-10,makefun,97.3,13111628
39,2024-10,autoclass,6.2,12427
40,2024-10,spawny,0.3,626
41,2024-10,mixture,13.9,346
42,2024-10,m5py,51.5,884
43,2024-10,yamlable,88.2,20479
44,2024-10,classtools-autocode,4.8,188
45,2024-10,odsclient,25.9,1636
46,2024-10,getversion,79.2,7053
47,2024-10,pytest-pilot,32.3,830
48,2024-10,pytest-harvest,87.7,92322
49,2024-10,click,91.0,261071788
50,2024-10,pyoad,11.3,97
51,2024-10,parsyfiles,0.9,846
52,2024-10,envswitch,0.9,1393
53,2024-10,pytest-cases,80.0,732373
54,2024-10,tabulate,94.6,80096974
55,2024-10,azmlclient,11.3,3510
56,2024-10,genbadge,73.2,186377
57,2024-10,decopatch,84.6,937835
58,2024-10,mkdocs-gallery,61.5,6551
59,2024-10,vtypes,54.5,336
29,2024-09,pyfields,96.3,39018
30,2024-09,valid8,95.7,40151
31,2024-09,azmlclient,36.4,994
32,2024-09,autoclass,16.3,3349
33,2024-09,fprules,2.9,278
34,2024-09,spawny,1.5,390
35,2024-09,envswitch,5.1,471
36,2024-09,pytest-harvest,90.4,82607
37,2024-09,makefun,97.3,12843495
38,2024-09,odsclient,37.6,842
39,2024-09,mixture,24.9,241
40,2024-09,mini-lambda,19.6,973
41,2024-09,pytest-pilot,48.0,587
42,2024-09,mkdocs-gallery,74.7,9092
43,2024-09,nox,93.4,2093537
44,2024-09,doit-api,13.6,280
45,2024-09,yamlable,67.1,22124
46,2024-09,m5py,53.6,577
47,2024-09,pytest-cases,76.9,608371
48,2024-09,tabulate,95.3,84341037
49,2024-09,pyoad,7.2,83
50,2024-09,click,91.6,262807498
51,2024-09,sficopaf,5.5,73
52,2024-09,vtypes,10.7,121
53,2024-09,genbadge,86.6,189873
54,2024-09,getversion,93.7,11665
55,2024-09,marshmallow-pyfields,36.8,185
56,2024-09,pytest-steps,65.3,48548
57,2024-09,parsyfiles,0.6,484
58,2024-09,qdscreen,2.4,327
59,2024-09,decopatch,81.7,774217
60,2024-09,classtools-autocode,13.7,95
26,2024-08,valid8,92.9,16875
27,2024-08,getversion,96.2,12319
28,2024-08,sficopaf,31.5,54
29,2024-08,m5py,66.8,671
30,2024-08,parsyfiles,10.0,341
31,2024-08,tabulate,94.2,84350812
32,2024-08,decopatch,84.4,586374
33,2024-08,spawny,11.3,203
34,2024-08,autoclass,19.9,2442
35,2024-08,odsclient,32.7,679
36,2024-08,pytest-harvest,92.4,78020
37,2024-08,makefun,97.7,13128576
38,2024-08,pytest-pilot,55.9,392
39,2024-08,vtypes,32.4,105
40,2024-08,pyfields,94.1,15946
41,2024-08,fprules,10.5,228
42,2024-08,doit-api,19.7,233
43,2024-08,classtools-autocode,23.4,77
44,2024-08,click,90.2,252113924
45,2024-08,mixture,71.0,376
46,2024-08,mini-lambda,17.6,648
47,2024-08,mkdocs-gallery,70.6,6628
48,2024-08,pytest-cases,81.1,470756
49,2024-08,yamlable,74.8,25509
50,2024-08,genbadge,80.2,100952
51,2024-08,azmlclient,28.7,857
52,2024-08,pytest-steps,70.6,46640
53,2024-08,envswitch,11.5,355
54,2024-08,qdscreen,16.7,210
55,2024-08,marshmallow-pyfields,29.0,131
56,2024-08,pyoad,33.9,56
57,2024-08,nox,93.1,2035795
28,2024-07,mixture,84.3,974
29,2024-07,m5py,65.2,656
30,2024-07,parsyfiles,0.2,464
31,2024-07,mini-lambda,50.6,1127
32,2024-07,doit-api,25.4,374
33,2024-07,getversion,94.5,11017
34,2024-07,qdscreen,3.6,278
35,2024-07,pyfields,95.6,24969
36,2024-07,tabulate,93.6,76201445
37,2024-07,azmlclient,26.7,913
38,2024-07,click,89.9,246428646
39,2024-07,fprules,2.5,241
40,2024-07,decopatch,85.1,525221
41,2024-07,pytest-pilot,42.4,450
42,2024-07,makefun,97.8,13243096
43,2024-07,spawny,1.3,301
44,2024-07,vtypes,20.3,133
45,2024-07,classtools-autocode,7.4,81
46,2024-07,yamlable,88.3,15406
47,2024-07,odsclient,52.0,895
48,2024-07,nox,92.3,2141705
49,2024-07,pytest-harvest,92.5,73912
50,2024-07,sficopaf,1.7,60
51,2024-07,pytest-cases,81.6,418371
52,2024-07,envswitch,1.7,416
53,2024-07,genbadge,80.3,86161
54,2024-07,mkdocs-gallery,74.7,7262
55,2024-07,pyoad,3.3,61
56,2024-07,pytest-steps,70.4,53445
57,2024-07,valid8,95.8,26602
58,2024-07,autoclass,25.2,3089
59,2024-07,marshmallow-pyfields,28.8,146
31,2024-06,pytest-cases,78.8,347138
32,2024-06,spawny,4.8,189
33,2024-06,yamlable,90.4,14210
34,2024-06,envswitch,2.3,259
35,2024-06,makefun,97.9,12454667
36,2024-06,odsclient,63.9,574
37,2024-06,nox,92.5,2031738
38,2024-06,decopatch,81.1,398227
39,2024-06,pyfields,77.6,2309
40,2024-06,marshmallow-pyfields,37.3,118
41,2024-06,getversion,96.1,9989
42,2024-06,mini-lambda,39.7,547
43,2024-06,pyoad,5.9,34
44,2024-06,vtypes,15.0,80
45,2024-06,genbadge,83.3,87906
46,2024-06,pytest-steps,85.3,89902
47,2024-06,fprules,4.5,156
48,2024-06,autoclass,18.1,2028
49,2024-06,mkdocs-gallery,68.5,4680
50,2024-06,m5py,69.6,595
51,2024-06,tabulate,93.4,66208194
52,2024-06,doit-api,23.4,244
53,2024-06,mixture,78.0,427
54,2024-06,qdscreen,5.8,155
55,2024-06,valid8,77.7,3649
56,2024-06,sficopaf,9.8,41
57,2024-06,parsyfiles,1.7,172
58,2024-06,pytest-harvest,92.4,61380
59,2024-06,azmlclient,29.2,792
60,2024-06,pytest-pilot,61.5,358
61,2024-06,classtools-autocode,19.5,82
62,2024-06,click,89.6,220294341
24,2024-05,mixture,79.9,492
25,2024-05,yamlable,90.4,17063
26,2024-05,genbadge,87.2,87539
27,2024-05,click,88.6,218753330
28,2024-05,parsyfiles,0.0,280
29,2024-05,azmlclient,35.4,678
30,2024-05,makefun,98.0,15324751
31,2024-05,marshmallow-pyfields,72.7,249
32,2024-05,pytest-harvest,91.1,55979
33,2024-05,classtools-autocode,43.2,74
34,2024-05,pytest-cases,77.9,356876
35,2024-05,getversion,97.2,16628
36,2024-05,pytest-pilot,51.4,381
37,2024-05,valid8,72.6,3864
38,2024-05,sficopaf,9.1,33
39,2024-05,m5py,64.0,539
40,2024-05,fprules,3.0,197
41,2024-05,tabulate,92.8,65919940
42,2024-05,qdscreen,8.2,195
43,2024-05,odsclient,59.7,722
44,2024-05,pyoad,10.7,28
45,2024-05,doit-api,38.7,310
46,2024-05,envswitch,2.7,299
47,2024-05,mini-lambda,21.5,534
48,2024-05,autoclass,21.0,1797
49,2024-05,pytest-steps,85.6,102031
50,2024-05,mkdocs-gallery,68.1,4353
51,2024-05,vtypes,65.1,186
52,2024-05,decopatch,78.4,432474
53,2024-05,pyfields,74.8,2525
54,2024-05,nox,92.4,2116620
55,2024-05,spawny,5.7,159
32,2024-04,marshmallow-pyfields,36.3,135
33,2024-04,envswitch,0.8,379
34,2024-04,vtypes,73.4,470
35,2024-04,mini-lambda,22.8,671
36,2024-04,sficopaf,4.3,46
37,2024-04,nox,92.4,2408879
38,2024-04,yamlable,89.2,13246
39,2024-04,azmlclient,22.9,1041
40,2024-04,parsyfiles,0.0,350
41,2024-04,pyfields,63.1,3078
42,2024-04,pytest-cases,70.7,334726
43,2024-04,decopatch,74.3,380369
44,2024-04,pytest-steps,79.0,76550
45,2024-04,mixture,43.4,221
46,2024-04,genbadge,86.9,73698
47,2024-04,getversion,97.2,20565
48,2024-04,odsclient,36.1,710
49,2024-04,pyoad,7.3,55
50,2024-04,mkdocs-gallery,55.5,3011
51,2024-04,m5py,63.6,505
52,2024-04,qdscreen,5.3,302
53,2024-04,pytest-harvest,85.3,45083
54,2024-04,doit-api,28.4,313
55,2024-04,click,86.3,200871081
56,2024-04,spawny,1.2,324
57,2024-04,makefun,97.0,14473763
58,2024-04,pytest-pilot,32.5,538
59,2024-04,classtools-autocode,5.5,73
60,2024-04,valid8,71.7,4355
61,2024-04,tabulate,91.0,65223501
62,2024-04,autoclass,12.8,2856
63,2024-04,fprules,1.0,204
26,2024-03,spawny,8.4,239
27,2024-03,qdscreen,9.7,196
28,2024-03,classtools-autocode,25.3,79
29,2024-03,doit-api,16.7,287
30,2024-03,odsclient,29.7,489
31,2024-03,vtypes,38.6,114
32,2024-03,mini-lambda,40.8,686
33,2024-03,fprules,3.7,218
34,2024-03,click,85.9,191555362
35,2024-03,valid8,74.2,3641
36,2024-03,sficopaf,16.7,48
37,2024-03,pytest-steps,76.6,65832
38,2024-03,pyfields,70.8,2496
39,2024-03,makefun,97.8,14205035
40,2024-03,pytest-harvest,72.8,38093
41,2024-03,decopatch,75.5,403401
42,2024-03,getversion,97.8,35664
43,2024-03,marshmallow-pyfields,64.2,212
44,2024-03,m5py,60.5,509
45,2024-03,pytest-cases,73.6,364137
46,2024-03,pyoad,15.9,44
47,2024-03,yamlable,94.5,11416
48,2024-03,tabulate,90.9,64574635
49,2024-03,parsyfiles,15.7,388
50,2024-03,autoclass,26.0,1931
51,2024-03,pytest-pilot,44.0,348
52,2024-03,envswitch,9.2,358
53,2024-03,nox,93.6,2372424
54,2024-03,azmlclient,26.2,733
55,2024-03,genbadge,88.7,66760
56,2024-03,mkdocs-gallery,52.6,3853
57,2024-03,mixture,34.8,164
30,2024-02,azmlclient,23.8,911
31,2024-02,pyfields,61.9,3024
32,2024-02,pytest-harvest,78.4,27740
33,2024-02,m5py,45.1,594
34,2024-02,doit-api,22.9,340
35,2024-02,tabulate,92.4,51875712
36,2024-02,pytest-cases,76.8,327589
37,2024-02,mixture,45.7,230
38,2024-02,envswitch,7.7,495
